Chromosome,Start,End,Strand,P-RING1B,KO-RING1B,log2('P-RING1B' divided by 'KO-RING1B'),P-BMI,KO-BMI,log2('P-BMI' divided by 'KO-BMI'),P-SUZ12,KO-SUZ12,log2('P-SUZ12' divided by 'KO-SUZ12'),KO-MEL18,P-MEL18,log2('P-MEL18' divided by 'KO-MEL18'),P-H3K27Me3,KO-H3K27Me3,log2('P-H3K27Me3' divided by 'KO-H3K27Me3'),P-CBX4,KO-CBX4,log2('P-CBX4' divided by 'KO-CBX4'),P-CBX8,KO-CBX8,log2('P-CBX8' divided by 'KO-CBX8'),P-RYBP,KO-RYBP,log2('P-RYBP' divided by 'KO-RYBP'),Gene Name,Nearest Ensembl,,
chr11,19261676,19267329,+,3.25,1.25,1.38,4.94,2.34,1.08,5.20,1.03,2.33,2.78,2.63,-0.08,54.69,357.56,-2.71,3.97,1.48,1.42,3.38,3.92,-0.22,1.38,0.84,0.73,E2F8,ENSG00000129173,,
chr17,39761939,39765513,+,2.90,3.17,-0.13,4.03,4.47,-0.15,5.89,3.22,0.87,6.13,2.35,-1.38,54.65,1022.53,-4.23,2.99,2.48,0.27,2.65,8.25,-1.64,1.35,0.86,0.65,IKZF3,ENSG00000161405,,
chr10,5975158,5985165,+,8.44,2.14,1.98,10.02,3.17,1.66,8.18,1.75,2.22,4.74,5.93,0.32,54.62,272.34,-2.32,10.30,2.08,2.31,7.11,5.89,0.27,3.68,1.61,1.20,IL15RA,ENSG00000134470,,
chr3,182772694,182776399,+,7.27,1.63,2.16,10.44,3.04,1.78,4.53,1.09,2.05,4.41,5.51,0.32,54.57,270.01,-2.31,6.59,1.43,2.21,6.67,5.43,0.30,1.49,0.77,0.96,ATP11B,ENSG00000058063,,
chr4,41534413,41536475,+,3.84,2.64,0.54,5.72,3.94,0.54,4.84,1.32,1.88,7.50,3.24,-1.21,54.53,523.19,-3.26,4.02,2.24,0.84,4.14,8.10,-0.97,1.00,1.17,-0.23,LIMCH1,ENSG00000064042,,
chr7,73849894,73856925,+,3.78,1.35,1.48,5.33,1.65,1.69,7.35,1.57,2.23,3.21,2.87,-0.16,54.50,255.51,-2.23,4.55,1.71,1.41,4.12,4.26,-0.05,1.84,1.41,0.38,TMEM270,ENSG00000175877,,
chr6,21519694,21523998,+,5.20,1.35,1.95,7.84,2.47,1.67,4.84,1.27,1.93,3.70,4.10,0.15,54.48,297.85,-2.45,5.99,2.00,1.58,6.65,4.56,0.54,1.60,1.12,0.51,LINC00581,ENSG00000280989,,
chr3,186821381,186829973,+,4.04,3.68,0.14,4.42,3.27,0.44,6.94,1.93,1.85,4.29,1.93,-1.16,54.46,467.03,-3.10,3.32,1.90,0.81,2.76,7.81,-1.50,6.83,3.51,0.96,LINC02043,ENSG00000232233,,
chr17,43901984,43904115,+,3.65,3.44,0.08,3.32,3.26,0.03,6.98,3.21,1.12,5.45,1.69,-1.69,54.45,503.66,-3.21,2.78,2.75,0.02,2.06,6.20,-1.59,3.80,3.06,0.31,MPP2,ENSG00000108852,,
chr3,195851014,195853886,+,2.97,1.29,1.20,3.14,1.81,0.80,5.84,1.35,2.11,3.03,1.87,-0.69,54.36,367.86,-2.76,2.95,1.07,1.46,2.09,4.32,-1.05,1.80,0.82,1.13,LINC01983,,,
chr11,64730041,64748429,+,2.23,1.06,1.07,2.18,1.72,0.35,8.65,1.51,2.52,2.16,1.54,-0.49,54.33,549.04,-3.34,2.28,1.23,0.88,1.20,2.53,-1.08,2.64,1.02,1.38,RASGRP2,ENSG00000068831,,
chr9,124171374,124182940,+,3.62,1.01,1.84,4.58,2.11,1.12,5.41,1.14,2.25,3.13,2.46,-0.35,54.33,353.24,-2.70,3.46,1.37,1.34,3.03,3.09,-0.03,1.52,0.73,1.05,NEK6,ENSG00000119408,,
chr10,6081984,6089717,+,6.14,2.13,1.53,6.90,3.60,0.94,7.78,1.86,2.07,4.75,4.37,-0.12,54.33,284.03,-2.39,6.13,2.03,1.59,5.18,6.17,-0.25,2.22,1.69,0.40,RBM17,ENSG00000134453,,
chr15,84570478,84580650,+,4.59,1.87,1.30,6.34,2.20,1.53,8.67,1.47,2.56,3.34,3.91,0.23,54.29,285.22,-2.39,5.80,1.66,1.81,3.81,4.35,-0.19,1.86,1.19,0.65,LINC00933,,,
chr5,149703666,149731197,+,4.22,1.08,1.97,5.70,2.29,1.32,6.95,1.06,2.71,3.20,3.60,0.17,54.28,292.91,-2.43,4.78,1.36,1.81,4.05,4.07,-0.01,1.48,0.80,0.90,PPARGC1B,ENSG00000155846,,
chr6,99618675,99621707,+,5.48,2.89,0.92,8.94,4.99,0.84,5.91,2.80,1.08,7.57,5.40,-0.49,54.24,504.27,-3.22,5.95,2.44,1.28,5.16,11.15,-1.11,1.98,1.31,0.60,PRDM13,ENSG00000112238,,
chr10,101275999,101278051,+,3.54,1.64,1.11,3.80,3.01,0.34,5.44,1.92,1.50,4.45,2.54,-0.81,54.20,395.25,-2.87,3.08,1.39,1.15,2.69,4.72,-0.81,1.24,0.80,0.64,LOC101927419,ENSG00000229649,,
chr16,85688390,85693462,+,3.11,1.85,0.75,2.99,2.64,0.18,7.82,2.00,1.96,3.92,1.81,-1.12,54.11,589.76,-3.45,3.03,1.85,0.71,1.93,4.35,-1.17,3.12,1.90,0.72,GINS2,ENSG00000131153,,
chr3,128518203,128533227,+,3.80,1.33,1.51,6.19,2.73,1.18,6.31,1.81,1.80,3.57,3.50,-0.03,54.10,534.79,-3.31,4.67,1.48,1.66,3.89,4.66,-0.26,1.19,0.94,0.34,LOC90246,,,
chr19,5743695,5749547,+,1.72,0.88,0.97,2.72,1.43,0.92,7.09,1.12,2.66,2.79,1.31,-1.09,54.10,282.76,-2.39,3.17,1.23,1.36,1.73,3.02,-0.80,1.10,0.97,0.19,CATSPERD,ENSG00000174898,,
chr1,149604254,149608826,+,6.54,1.97,1.73,8.96,3.42,1.39,4.18,1.22,1.78,6.13,5.00,-0.29,54.08,260.01,-2.27,5.61,2.11,1.41,7.37,7.54,-0.03,1.27,0.93,0.45,LINC00869,ENSG00000277147,,
chr15,67259374,67262346,+,5.28,1.39,1.92,8.05,2.60,1.63,6.30,1.40,2.17,3.90,4.63,0.25,54.03,207.01,-1.94,6.83,1.38,2.31,6.28,6.20,0.02,1.58,0.83,0.94,AAGAB,ENSG00000103591,,
chr1,218153159,218155233,+,7.03,2.38,1.56,10.66,4.57,1.22,4.06,1.72,1.24,7.30,7.21,-0.02,54.03,331.73,-2.62,7.35,2.21,1.73,7.41,9.49,-0.36,1.17,1.13,0.05,LINC01653,ENSG00000232100,,
chr17,82068501,82077467,+,4.29,1.56,1.46,6.31,3.04,1.06,13.33,1.42,3.23,3.80,3.79,-0.01,53.98,196.83,-1.87,9.16,2.19,2.07,4.33,4.71,-0.12,2.60,1.82,0.51,DUS1L,ENSG00000169718,,
chr15,40044854,40058741,+,3.27,1.59,1.04,3.95,2.18,0.86,8.76,1.15,2.92,3.09,2.31,-0.42,53.95,485.14,-3.17,4.23,1.74,1.28,2.08,2.91,-0.48,2.60,1.33,0.96,SRP14-AS1,ENSG00000248508,,
chr2,234358837,234361424,+,4.57,1.06,2.11,7.42,1.77,2.07,4.08,1.00,2.03,2.61,3.82,0.55,53.93,129.29,-1.26,4.62,1.23,1.91,3.94,2.76,0.51,1.10,1.17,-0.08,LINC01891,ENSG00000231682,,
chr1,212709050,212710980,+,4.92,1.89,1.38,7.17,3.29,1.12,6.15,2.03,1.60,5.97,3.73,-0.68,53.91,503.34,-3.22,5.16,2.22,1.22,4.13,6.30,-0.61,1.51,1.13,0.41,BATF3,ENSG00000123685,,
chr11,117876949,117883922,+,2.94,2.54,0.21,3.10,3.89,-0.33,5.23,1.95,1.43,5.09,2.41,-1.08,53.90,646.09,-3.58,3.29,2.42,0.44,2.44,7.62,-1.64,2.10,1.53,0.45,FXYD6,ENSG00000137726,,
chr11,134016109,134020511,+,1.88,2.19,-0.23,2.79,2.82,-0.01,5.09,1.81,1.49,4.59,1.39,-1.72,53.83,771.63,-3.84,2.50,1.80,0.47,1.61,5.81,-1.86,1.29,1.21,0.10,LOC100128239,ENSG00000204241,,
chr6,79533646,79537325,+,14.45,3.44,2.07,21.34,5.25,2.02,7.44,1.32,2.50,9.20,14.38,0.64,53.80,125.28,-1.22,17.07,3.69,2.21,18.22,12.45,0.55,3.33,2.16,0.63,LCA5,ENSG00000135338,,
chr17,77570711,77573811,+,1.81,1.08,0.74,2.37,1.83,0.37,4.75,1.61,1.56,2.77,1.48,-0.91,53.76,486.16,-3.18,2.56,1.61,0.67,1.63,3.48,-1.09,1.19,1.27,-0.09,LOC100507351,,,
chr7,30210763,30213571,+,6.70,1.00,2.75,9.62,2.12,2.18,5.56,1.12,2.31,2.96,5.73,0.95,53.76,237.45,-2.14,7.91,1.27,2.63,6.69,4.04,0.73,1.37,0.91,0.59,ZNRF2,ENSG00000180233,,
chr3,50668870,50679470,+,5.69,2.17,1.39,8.18,3.06,1.42,5.56,1.48,1.91,4.92,4.25,-0.21,53.74,450.53,-3.07,6.05,1.70,1.83,5.92,6.40,-0.11,2.21,1.41,0.64,MIR4787,ENSG00000272543,26,564
chr12,267234,270099,+,3.43,1.89,0.86,5.23,3.40,0.62,4.64,1.60,1.53,5.53,3.40,-0.70,53.70,494.54,-3.20,4.13,1.96,1.08,3.08,5.48,-0.83,1.38,0.84,0.72,SLC6A13,ENSG00000010379,,
chr1,154746164,154749409,+,2.84,3.05,-0.10,3.76,3.43,0.13,6.64,2.25,1.56,5.92,2.43,-1.28,53.68,140.85,-1.39,3.51,2.85,0.30,2.69,6.58,-1.29,2.55,3.04,-0.25,KCNN3,ENSG00000143603,,
chr22,24679906,24682235,+,4.29,1.96,1.13,7.17,3.17,1.18,4.54,1.49,1.61,4.97,4.29,-0.21,53.64,400.54,-2.90,5.33,1.56,1.77,5.04,6.70,-0.41,1.02,0.65,0.66,POM121L10P,,,
chr1,35140623,35147258,+,3.51,1.64,1.10,6.18,2.74,1.17,6.25,1.79,1.80,4.25,2.79,-0.61,53.64,436.16,-3.02,4.40,1.52,1.54,4.30,4.87,-0.18,1.17,0.97,0.27,SFPQ,ENSG00000116560,,
chr6,10380436,10385417,+,4.25,7.41,-0.80,5.28,9.52,-0.85,5.84,7.18,-0.30,16.63,2.73,-2.61,53.64,898.00,-4.07,4.21,4.66,-0.15,3.11,23.13,-2.90,1.84,3.18,-0.79,TFAP2A-AS2,ENSG00000285278,,
chr2,64652260,64658224,+,8.26,3.83,1.11,10.96,5.29,1.05,6.78,2.23,1.60,8.30,6.85,-0.28,53.63,375.82,-2.81,9.33,3.77,1.31,8.68,11.08,-0.35,2.84,1.84,0.63,SERTAD2,ENSG00000179833,,
chr12,53699031,53702205,+,2.80,2.22,0.33,3.70,3.10,0.26,6.32,3.00,1.07,5.35,2.11,-1.34,53.61,718.88,-3.75,2.49,1.78,0.48,2.45,5.93,-1.27,1.23,1.28,-0.05,ATP5MC2,ENSG00000135390,,
chr7,74054654,74062302,+,2.47,1.19,1.05,3.04,1.68,0.86,7.24,1.17,2.63,2.07,1.87,-0.14,53.60,249.49,-2.22,4.89,1.40,1.81,1.28,1.90,-0.56,1.94,1.37,0.50,LIMK1,ENSG00000106683,,
chr15,96430239,96433566,+,10.73,2.45,2.13,14.30,4.55,1.65,4.44,1.61,1.47,7.40,8.30,0.17,53.58,314.28,-2.55,9.26,2.13,2.12,8.73,7.95,0.14,1.32,0.81,0.71,NR2F2,ENSG00000185551,,
chr3,13080944,13084226,+,2.05,1.17,0.81,2.52,1.43,0.82,5.38,1.20,2.17,2.72,1.34,-1.03,53.57,300.39,-2.49,2.45,0.94,1.38,1.55,2.45,-0.66,1.93,0.97,1.00,IQSEC1,ENSG00000144711,,
chr10,3174232,3179498,+,5.88,2.15,1.45,8.33,2.73,1.61,7.21,1.57,2.20,4.53,5.02,0.15,53.54,338.46,-2.66,7.38,1.84,2.00,5.44,5.40,0.01,2.64,1.42,0.89,PITRM1,ENSG00000107959,,
chr17,50681079,50694873,+,2.06,1.85,0.16,2.28,2.11,0.11,8.04,2.48,1.70,3.74,1.55,-1.27,53.54,192.35,-1.85,2.49,1.74,0.51,1.55,3.16,-1.03,2.90,1.99,0.55,ANKRD40,ENSG00000154945,,
chr13,23906907,23907591,+,3.82,1.52,1.33,6.30,2.34,1.43,4.06,1.18,1.78,3.85,4.08,0.08,53.52,300.46,-2.49,5.12,1.39,1.88,4.33,4.82,-0.16,0.90,0.81,0.15,C1QTNF9B,ENSG00000205863,,
chr5,141802637,141812332,+,2.02,1.40,0.53,2.41,1.96,0.29,8.37,2.26,1.89,3.08,1.32,-1.23,53.49,600.96,-3.49,2.35,1.35,0.80,1.63,3.16,-0.95,1.99,1.32,0.60,PCDH1,ENSG00000156453,,
chr1,24533608,24550543,+,5.13,2.86,0.84,7.55,4.49,0.75,7.35,1.94,1.92,7.25,4.45,-0.71,53.49,749.83,-3.81,5.97,2.29,1.38,4.91,10.21,-1.06,1.56,0.95,0.72,LOC100506985,,,
chr6,44335857,44344292,+,3.24,1.89,0.78,4.47,3.06,0.55,6.85,2.21,1.64,4.55,2.31,-0.98,53.48,646.55,-3.60,3.05,1.33,1.20,3.04,6.98,-1.20,1.75,1.06,0.72,SPATS1,ENSG00000249481,,
chr20,62862031,62869135,+,3.67,2.21,0.73,4.52,2.48,0.87,7.79,1.64,2.25,3.89,3.48,-0.16,53.47,376.98,-2.82,4.70,1.64,1.51,3.68,4.27,-0.21,3.23,2.30,0.49,TCFL5,ENSG00000101190,,
chr17,35485299,35492186,+,4.69,5.38,-0.20,6.19,7.94,-0.36,5.28,4.37,0.27,12.23,3.39,-1.85,53.40,1010.41,-4.24,4.69,3.73,0.33,3.73,17.41,-2.22,1.94,1.69,0.19,SLFN12L,ENSG00000205045,,
chr3,13462996,13469751,+,2.27,0.87,1.38,3.59,1.67,1.10,5.44,0.99,2.46,2.09,2.11,0.02,53.38,334.04,-2.65,3.59,1.05,1.78,2.07,2.96,-0.52,1.39,0.73,0.93,HDAC11-AS1,ENSG00000244502,,
chr3,134453249,134458713,+,4.50,1.27,1.82,6.62,2.21,1.58,4.13,0.96,2.10,2.65,4.10,0.63,53.38,407.07,-2.93,4.80,1.21,1.99,4.15,4.10,0.02,1.23,0.92,0.43,MIR4788,ENSG00000284561,,
chr22,50135724,50144364,+,4.55,1.89,1.26,7.02,3.26,1.11,11.20,1.49,2.91,4.65,4.59,-0.02,53.38,369.89,-2.79,7.10,2.01,1.82,4.39,5.55,-0.34,3.05,1.11,1.46,MOV10L1,ENSG00000073146,,
chr2,94270255,94276967,+,7.29,4.03,0.86,10.13,5.74,0.82,6.83,3.93,0.80,8.52,5.37,-0.67,53.37,254.60,-2.25,7.85,3.83,1.04,8.19,13.82,-0.76,1.15,1.08,0.09,BMS1P14,,,
chr12,116601593,116606721,+,7.00,2.23,1.65,9.69,3.67,1.40,5.92,1.41,2.07,5.83,5.29,-0.14,53.33,400.90,-2.91,7.28,2.38,1.61,7.13,7.03,0.02,2.04,1.12,0.86,MAP1LC3B2,ENSG00000258102,,
chr20,57447004,57453260,+,2.77,2.05,0.43,3.23,2.05,0.65,5.76,2.32,1.32,3.60,1.78,-1.01,53.29,816.02,-3.94,2.62,1.57,0.74,1.41,3.87,-1.45,2.15,1.34,0.68,LOC100291105,ENSG00000218018,,
chr17,56981982,56983786,+,5.76,1.80,1.68,8.39,2.88,1.55,5.22,1.60,1.70,4.29,5.05,0.24,53.27,103.35,-0.96,6.09,1.69,1.85,5.96,5.28,0.17,1.47,1.55,-0.08,SCPEP1,ENSG00000121064,,
chr6,35189424,35190758,+,3.56,2.22,0.68,3.62,2.78,0.38,5.76,1.88,1.61,4.02,2.42,-0.73,53.24,841.03,-3.98,3.44,1.96,0.81,2.34,4.74,-1.02,1.66,1.16,0.52,SCUBE3,ENSG00000146197,,
chr10,68225818,68235341,+,9.16,1.94,2.24,12.80,2.72,2.23,8.76,1.37,2.67,4.47,7.59,0.76,53.22,217.68,-2.03,10.00,1.62,2.62,9.01,7.91,0.19,3.33,1.90,0.81,ATOH7,ENSG00000179774,,
chr16,77471889,77472680,+,3.03,0.84,1.84,4.64,2.12,1.13,4.82,1.09,2.15,2.26,2.67,0.25,53.19,83.42,-0.65,3.47,1.22,1.50,3.23,2.71,0.25,1.20,0.96,0.33,ADAMTS18,ENSG00000140873,,
chr1,50977047,50987482,+,22.35,3.54,2.66,34.99,5.32,2.72,10.81,1.83,2.56,9.00,23.30,1.37,53.19,123.80,-1.22,29.41,4.00,2.88,26.89,11.01,1.29,3.26,2.10,0.64,CDKN2C,ENSG00000123080,,
chr2,11554407,11560427,+,2.59,1.58,0.71,3.89,2.45,0.67,3.25,2.01,0.69,3.69,1.99,-0.89,53.18,596.00,-3.49,3.16,1.39,1.18,2.91,6.25,-1.10,1.03,0.84,0.30,GREB1,ENSG00000196208,,
chr17,42420448,42426584,+,2.22,1.89,0.23,2.15,2.23,-0.05,6.46,1.28,2.33,2.84,1.55,-0.88,53.15,94.17,-0.83,2.72,1.48,0.88,1.92,3.48,-0.86,2.95,2.24,0.40,CAVIN1,ENSG00000177469,,
chr6,4105188,4112429,+,7.15,2.32,1.62,13.15,4.94,1.41,6.15,1.45,2.08,7.23,7.22,0.00,53.14,458.10,-3.11,9.21,2.69,1.77,8.83,10.99,-0.32,1.50,1.12,0.42,ECI2,ENSG00000198721,,
chr11,124715959,124719817,+,2.50,1.76,0.51,3.44,2.91,0.25,4.53,2.48,0.87,3.97,1.77,-1.16,53.10,709.94,-3.74,2.78,1.83,0.60,2.22,6.02,-1.44,1.11,1.28,-0.21,NRGN,ENSG00000154146,,
chr21,37006962,37011141,+,3.68,1.87,0.98,5.28,2.70,0.97,5.40,2.10,1.36,4.02,2.57,-0.65,53.05,305.68,-2.53,3.56,2.05,0.80,3.43,5.90,-0.78,1.63,1.88,-0.21,RIPPLY3,ENSG00000183145,,
chr11,60993134,61000212,+,2.45,1.39,0.81,2.86,1.86,0.62,5.14,1.26,2.02,3.01,1.85,-0.70,53.03,201.52,-1.93,2.75,1.31,1.07,1.87,2.83,-0.60,1.29,1.01,0.36,CD6,ENSG00000013725,,
chr22,46015001,46017747,+,5.61,2.71,1.05,6.56,2.30,1.51,6.46,1.38,2.22,4.51,5.70,0.34,53.03,118.43,-1.16,7.95,2.89,1.46,5.89,4.15,0.50,3.90,2.56,0.60,LOC730668,ENSG00000280424,,
chr7,90316160,90318048,+,4.80,1.26,1.93,7.71,2.27,1.77,4.04,1.48,1.45,3.67,4.22,0.20,52.97,288.76,-2.45,5.90,1.46,2.01,6.00,5.62,0.10,1.43,1.00,0.52,LOC101927446,ENSG00000105793,,
chr17,61467109,61468448,+,3.23,3.80,-0.23,3.37,3.31,0.02,4.08,3.45,0.24,6.34,1.77,-1.84,52.96,862.92,-4.03,2.64,2.36,0.16,1.89,6.71,-1.83,1.43,1.26,0.18,TBX4,ENSG00000121075,,
chr22,50162729,50165595,+,2.83,1.14,1.31,3.51,1.93,0.87,7.34,1.78,2.05,2.47,2.21,-0.16,52.93,485.36,-3.20,3.22,1.26,1.36,2.18,2.58,-0.24,2.29,0.85,1.43,PANX2,ENSG00000073150,,
chr17,80511867,80516886,+,2.00,1.46,0.45,2.50,2.22,0.17,4.57,2.12,1.11,2.94,1.24,-1.24,52.93,710.72,-3.75,2.04,1.43,0.51,1.22,3.88,-1.66,0.90,0.99,-0.14,RPTOR,ENSG00000141564,,
chr3,169352291,169358267,+,8.22,2.38,1.79,15.52,4.34,1.84,4.24,1.33,1.67,7.54,7.93,0.07,52.91,342.81,-2.70,8.74,2.13,2.04,10.89,11.39,-0.06,1.41,0.93,0.61,LOC105374205,ENSG00000241479,,
chr6,158674229,158675411,+,5.10,1.43,1.83,7.43,2.87,1.37,4.64,1.42,1.71,3.00,4.16,0.47,52.90,312.76,-2.56,5.48,1.10,2.32,5.07,4.26,0.25,1.67,0.74,1.17,SYTL3,ENSG00000164674,,
chr15,67254102,67258365,+,6.76,2.59,1.38,8.29,3.54,1.23,7.60,1.69,2.17,5.08,4.79,-0.09,52.79,180.82,-1.78,7.94,2.32,1.77,7.64,8.95,-0.23,2.57,1.51,0.77,AAGAB,ENSG00000103591,,
chr10,132517223,132521678,+,3.86,2.44,0.66,3.49,2.43,0.52,6.68,2.08,1.68,3.94,1.95,-1.02,52.79,581.64,-3.46,3.60,2.03,0.82,1.88,4.52,-1.26,4.50,2.04,1.14,INPP5A,ENSG00000068383,,
chr7,21945334,21951872,+,8.43,2.11,2.00,11.78,3.08,1.93,7.29,1.49,2.29,4.80,6.80,0.50,52.76,272.33,-2.37,9.83,2.44,2.01,8.44,8.60,-0.03,3.21,1.69,0.92,CDCA7L,ENSG00000164649,,
chr1,89757404,89767995,+,6.96,2.61,1.42,9.23,3.88,1.25,8.95,1.93,2.21,5.65,5.10,-0.15,52.76,535.63,-3.34,7.63,2.17,1.81,6.81,8.07,-0.24,2.75,1.74,0.66,LRRC8D,ENSG00000171492,,
chr17,19429408,19439101,+,2.60,1.61,0.69,4.32,2.95,0.55,6.62,1.57,2.07,4.28,2.61,-0.72,52.73,697.02,-3.72,3.44,1.71,1.01,2.64,5.61,-1.09,1.16,1.18,-0.02,RNF112,ENSG00000128482,,
chr9,132178553,132183582,+,2.22,1.28,0.79,2.90,1.76,0.72,7.00,1.54,2.18,2.68,1.48,-0.86,52.73,356.93,-2.76,2.66,1.68,0.66,1.54,3.04,-0.98,1.67,1.13,0.56,NTNG2,ENSG00000196358,,
chr10,93067063,93078558,+,2.10,1.64,0.36,2.15,2.42,-0.17,6.09,4.03,0.60,3.21,1.16,-1.47,52.71,805.32,-3.93,2.26,1.66,0.44,1.46,4.55,-1.64,1.81,1.32,0.46,CYP26A1,ENSG00000095596,,
chr6,85445310,85452246,+,5.25,2.16,1.28,8.12,3.02,1.43,6.29,2.41,1.38,5.04,4.06,-0.31,52.70,365.32,-2.79,5.36,2.37,1.18,5.43,9.40,-0.79,1.81,1.70,0.09,NT5E,ENSG00000135318,,
chr21,44005189,44012530,+,3.87,1.73,1.16,5.39,2.66,1.02,8.67,1.85,2.23,3.93,3.43,-0.20,52.67,436.38,-3.05,5.38,2.19,1.30,3.63,5.25,-0.53,2.56,1.42,0.85,TRAPPC10,ENSG00000160218,,
chr9,122195151,122197978,+,2.27,1.47,0.62,3.00,1.70,0.82,3.91,1.75,1.16,3.33,1.39,-1.26,52.66,553.67,-3.39,2.35,1.38,0.76,1.81,4.03,-1.15,1.43,0.82,0.80,LHX6,ENSG00000106852,,
chr10,101705625,101711680,+,4.48,2.01,1.16,8.71,4.10,1.09,5.03,2.13,1.24,7.02,4.70,-0.58,52.66,369.61,-2.81,6.27,2.10,1.58,6.49,8.72,-0.43,1.34,1.02,0.39,FBXW4,ENSG00000107829,,
chr17,1956203,1961724,+,1.73,1.72,0.01,2.26,2.33,-0.04,5.49,1.76,1.64,3.04,1.25,-1.28,52.65,235.82,-2.16,2.08,1.91,0.12,1.35,4.09,-1.60,2.21,2.62,-0.24,LOC105371485,ENSG00000228133,,
chr1,202989127,202991224,+,4.87,2.96,0.72,7.75,4.96,0.64,5.32,2.05,1.37,7.49,3.96,-0.92,52.64,924.11,-4.13,5.18,2.34,1.15,4.74,10.60,-1.16,1.83,1.05,0.80,LOC100506747,,,
chr1,184971913,184977625,+,4.71,2.60,0.86,6.24,3.72,0.75,6.10,2.79,1.13,5.91,3.82,-0.63,52.62,385.95,-2.87,5.09,2.80,0.86,5.63,10.50,-0.90,2.23,2.07,0.11,FAM129A,ENSG00000135842,,
chr11,83146302,83150242,+,6.67,3.12,1.10,10.71,5.29,1.02,4.28,1.52,1.50,8.39,5.44,-0.63,52.61,468.05,-3.15,7.34,2.69,1.45,7.70,11.41,-0.57,1.07,0.90,0.25,PCF11,ENSG00000165494,,
chr16,89563768,89570581,+,3.93,1.95,1.01,4.47,2.37,0.91,9.73,2.56,1.93,3.71,2.80,-0.41,52.59,481.81,-3.20,5.55,2.39,1.21,2.52,4.68,-0.89,2.63,2.06,0.35,SNORD68,,,
chr8,143383525,143384199,+,2.17,1.17,0.89,1.88,1.48,0.34,5.58,1.85,1.59,2.17,1.20,-0.86,52.58,386.31,-2.88,2.18,1.18,0.88,1.17,2.27,-0.96,2.70,1.10,1.30,RHPN1,ENSG00000158106,,
chr1,46462087,46468613,+,2.25,1.87,0.27,3.04,2.76,0.14,6.74,3.66,0.88,3.34,1.47,-1.18,52.53,961.93,-4.19,2.50,1.48,0.76,1.65,5.22,-1.66,2.10,1.07,0.96,LINC01398,ENSG00000224863,,
chr11,124720565,124723436,+,2.66,1.65,0.69,3.32,2.98,0.16,4.54,2.23,1.03,3.88,1.59,-1.29,52.51,689.19,-3.71,2.76,1.79,0.63,2.19,5.40,-1.30,1.22,1.37,-0.17,NRGN,ENSG00000154146,,
chr1,154649073,154665190,+,6.87,3.51,0.97,13.13,6.97,0.91,7.42,2.26,1.72,10.09,5.99,-0.75,52.46,676.68,-3.69,8.26,3.14,1.40,7.16,12.22,-0.77,1.53,1.40,0.13,ADAR,ENSG00000160710,,
chr13,91341837,91347553,+,17.73,3.55,2.32,28.00,4.87,2.52,7.55,1.38,2.46,9.08,18.76,1.05,52.44,183.46,-1.81,23.25,3.76,2.63,22.93,12.98,0.82,3.01,1.48,1.02,MIR17HG,ENSG00000215417,,
chr1,109483017,109484205,+,5.20,2.26,1.20,4.87,2.68,0.86,4.42,2.64,0.74,4.87,3.19,-0.61,52.42,601.67,-3.52,3.97,2.08,0.93,3.37,5.24,-0.64,1.99,1.67,0.25,ATXN7L2,ENSG00000162650,,
chr7,2684941,2692351,+,1.84,1.01,0.87,2.38,1.47,0.70,8.14,1.50,2.44,1.94,1.16,-0.74,52.41,469.83,-3.16,2.00,0.94,1.09,1.11,2.14,-0.94,3.06,0.97,1.66,AMZ1,ENSG00000174945,,
chr11,421829,428375,+,2.08,0.90,1.21,2.74,1.46,0.91,6.50,1.44,2.18,2.08,1.85,-0.17,52.36,321.02,-2.62,3.38,1.11,1.61,2.62,3.35,-0.35,1.07,0.93,0.19,SIGIRR,ENSG00000185187,,
chr10,945820,947398,+,3.69,1.97,0.91,5.19,2.59,1.00,4.80,1.62,1.56,4.23,2.88,-0.55,52.36,337.77,-2.69,4.03,1.42,1.51,3.13,4.83,-0.63,1.26,0.89,0.51,LOC101927762,ENSG00000229869,,
chr3,184533221,184561685,+,5.16,2.44,1.08,5.65,3.00,0.91,8.20,1.77,2.21,5.01,3.06,-0.71,52.33,224.90,-2.10,4.96,1.92,1.37,3.74,5.35,-0.52,1.52,1.55,-0.03,LINC01840,ENSG00000230215,11,154
chr6,3029226,3033566,+,5.33,1.84,1.54,8.20,2.75,1.58,6.07,1.38,2.14,3.88,4.47,0.20,52.28,316.48,-2.60,5.24,1.67,1.65,4.25,4.89,-0.20,1.75,1.18,0.56,HTATSF1P2,,,
chr20,34189760,34191398,+,3.71,2.35,0.66,5.71,4.04,0.50,5.52,1.85,1.58,5.92,2.91,-1.03,52.27,513.21,-3.30,4.19,2.38,0.81,3.68,9.18,-1.32,1.04,1.32,-0.34,ASIP,ENSG00000101440,,
chr15,40437225,40440065,+,2.43,1.89,0.36,2.94,2.16,0.45,5.04,1.88,1.43,3.04,1.63,-0.89,52.24,389.92,-2.90,2.33,1.59,0.55,1.27,2.94,-1.21,4.50,2.44,0.89,BAHD1,ENSG00000140320,,
chr12,6386753,6388739,+,2.74,2.02,0.44,3.50,2.63,0.41,5.83,1.67,1.80,3.37,1.89,-0.83,52.21,595.05,-3.51,2.68,1.59,0.76,1.76,3.99,-1.18,1.75,1.17,0.58,LTBR,ENSG00000111321,,
