ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode
ACH-000523,NCI-H1184,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000524,KURAMOCHI,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000525,NCI-H2171,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000526,Hs 821.T,Fibroblast,Non-Cancerous,"Fibroblast, Bone",
ACH-000527,OVISE,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,CCOV
ACH-000528,ABC-1,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000529,T1-73,Fibroblast,Non-Cancerous,"Fibroblast, Bone",
ACH-000530,DMS 114,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000531,RS-5,Fibroblast,Non-Cancerous,"Fibroblast, Lung",
ACH-000532,SNU-61,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,READ
ACH-000533,NCI-H2004 RT,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,MRT
ACH-000534,WSU-DLCL2,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBCLNOS
ACH-000535,BxPC-3,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000536,BT-20,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC
ACH-000537,SNU-761,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC
ACH-000538,HUTU80,Bowel,Small Bowel Cancer,Duodenal Adenocarcinoma,DA
ACH-000539,Hs 618.T,Fibroblast,Non-Cancerous,"Fibroblast, Lung",
ACH-000540,Hs 606.T,Fibroblast,Non-Cancerous,"Fibroblast, Breast",
ACH-000541,KMS-34,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000542,Hey-A8,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000543,SNU-489,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000544,OE21,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,ESCC
ACH-000545,VM-CUB1,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-000546,HSC-4,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-000547,HT-1197,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-000548,BHY,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-000549,SNU-1076,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,LXSC
ACH-000550,IGR-39,Skin,Melanoma,Melanoma,MEL
ACH-000551,K-562,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",CMLBCRABL1
ACH-000552,HT-29,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000553,Sq-1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000554,UACC-893,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,ILC
ACH-000555,A-498,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,RCC
ACH-000556,SIHA,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,CESC
ACH-000557,AML-193,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000558,A-172,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000559,NCI-H1836,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000560,ECC10,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Small Cell Carcinoma of the Stomach,STSC
ACH-000561,T.T,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,ESCC
ACH-000562,HCC-78,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000563,EBC-1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000564,KHM-1B,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000565,RCM-1,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,READ
ACH-000566,SW-1710,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-000567,ST486,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,BL
ACH-000568,UACC-812,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,ILC
ACH-000569,IST-MES1,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",PLEMESO
ACH-000570,YKG1,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000571,T98G,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000572,G-361,Skin,Melanoma,Melanoma,MEL
ACH-000573,MDA-MB-436,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",BRCNOS
ACH-000574,FU-OV-1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000575,HCC-364,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000576,KMS-27,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000577,JHH-2,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC
ACH-000578,HCC-1171,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000579,UACC-257,Skin,Melanoma,Melanoma,MEL
ACH-000580,C32,Skin,Melanoma,Melanoma,MEL
ACH-000581,SNU-16,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,STAD
ACH-000582,COLO 741,Skin,Melanoma,Melanoma,MEL
ACH-000583,MC116,Lymphoid,Non-Hodgkin Lymphoma,Mature B-Cell Neoplasms,MBN
ACH-000584,JHOS-4,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000585,EPLC-272H,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000586,NCI-H1876,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000587,NCI-H1975,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000588,KMS-26,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000589,NCI-H1437,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000590,NCI-H2073,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000591,LN-235,CNS/Brain,Diffuse Glioma,Astrocytoma,ASTR
ACH-000592,TM-31,CNS/Brain,Diffuse Glioma,Astrocytoma,ASTR
ACH-000593,BC-3C,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-000594,DMS 153,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000595,LN-229,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000596,LCLC-97TM1,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC
ACH-000597,TTC-709,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer,
ACH-000598,KMS-21BM,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000599,PA-TU-8902,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000600,SLR 26,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC
ACH-000601,MIA PaCa-2,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000602,M-07e,Myeloid,Acute Myeloid Leukemia,Acute Megakaryoblastic Leukemia,AMKL
ACH-000603,BEN,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC
ACH-000604,KYO-1,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",CMLBCRABL1
ACH-000605,TE-6,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,ESCC
ACH-000606,PE/CA-PJ34 (clone C12),Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-000607,KYM-1,Soft Tissue,Rhabdomyosarcoma,Embryonal Rhabdomyosarcoma,ERMS
ACH-000608,COV644,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Mucinous Ovarian Cancer,MOV
ACH-000609,SF126,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000610,NCI-H2227,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000611,SU-DHL-6,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBCLNOS
ACH-000612,HuT 102,Lymphoid,Mature T and NK Neoplasms,Mycosis Fungoides,MYCF
ACH-000613,HOS,Bone,Osteosarcoma,Osteosarcoma,OS
ACH-000614,RVH-421,Skin,Melanoma,Melanoma,MEL
ACH-000615,SK-MEL-28,Skin,Melanoma,Cutaneous Melanoma,SKCM
ACH-000616,Hs 746T,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,STAD
ACH-000617,OVCAR-4,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000618,SNU-1041,Head and Neck,Head and Neck Squamous Cell Carcinoma,Hypopharynx Squamous Cell Carcinoma,HPHSC
ACH-000619,PE/CA-PJ15,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-000620,JHH-1,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC
ACH-000621,MDA-MB-157,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC
ACH-000622,KNS-42,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000623,SNU-201,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000624,HCC1806,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,DCIS
ACH-000625,Hep 3B2.1-7,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC
ACH-000626,U266B1,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000627,LCLC-103H,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC
ACH-000628,NCI-H596,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,LUAS
ACH-000629,IOMM-Lee,CNS/Brain,Meningothelial Tumor,Meningioma,MNG
ACH-000630,YD-8,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-000631,KS-1,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000632,Hs 944.T,Skin,Melanoma,Cutaneous Melanoma,SKCM
ACH-000633,FU97,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma,DSTAD
ACH-000634,LN-340,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000635,SNU-119,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000636,RPMI-8402,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,TLL
ACH-000637,KYSE-520,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,ESCC
ACH-000638,NCI-H441,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000639,NCI-H211,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000640,SK-MEL-31,Skin,Melanoma,Cutaneous Melanoma,SKCM
ACH-000641,CMK,Myeloid,Acute Myeloid Leukemia,Myeloid Leukemia Associated with Down Syndrome,MLADS
ACH-000642,HMEL,Breast,Non-Cancerous,Immortalized Breast Cells,
ACH-000643,HDQ-P1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC
ACH-000644,COLO 829,Skin,Melanoma,Cutaneous Melanoma,SKCM
ACH-000645,JL-1,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",PLEMESO
ACH-000646,OVMANA,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,CCOV
ACH-000647,TE-1,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,ESCC
ACH-000648,NCI-H28,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",PLEMESO
ACH-000649,786-O,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC
ACH-000650,IGR-37,Skin,Melanoma,Melanoma,MEL
ACH-000651,SW 620,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000652,SUIT-2,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000653,JJN-3,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000654,Raji,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,BL
ACH-000655,SF268,CNS/Brain,Diffuse Glioma,Astrocytoma,ASTR
ACH-000656,SU-DHL-8,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBCLNOS
ACH-000657,A2780,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,EOV
ACH-000658,KMS-18,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000659,SCLC-21H,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000660,SU-DHL-5,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBCLNOS
ACH-000661,WM1799,Skin,Melanoma,Melanoma,MEL
ACH-000662,COR-L23,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC
ACH-000663,OVTOKO,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,CCOV
ACH-000664,SU-DHL-1,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,ALCLALKP
ACH-000665,SK-MES-1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000666,NCI-H1355,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000667,HCC-44,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000668,HCC70,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC
ACH-000669,SW 900,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000670,SBC-5,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000671,HuH-6,Liver,Hepatoblastoma,Hepatoblastoma,LIHB
ACH-000672,IA-LM,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC
ACH-000673,LN-443,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000674,NUGC-4,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma,DSTAD
ACH-000675,NCI-H1734,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000676,LN-464,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000677,SW 1573,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000678,MKN7,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Tubular Stomach Adenocarcinoma,TSTAD
ACH-000679,OE-19,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,ESCC
ACH-000680,SW948,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000681,A549,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000682,SNU-1066,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,LXSC
ACH-000683,SNU-503,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,READ
ACH-000684,KMRC-1,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC
ACH-000685,L3.3,Pancreas,Adenosquamous Carcinoma of the Pancreas,Adenosquamous Carcinoma of the Pancreas,PAASC
ACH-000686,SNU-878,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC
ACH-000687,CI-1,Lymphoid,Non-Hodgkin Lymphoma,Mature B-Cell Neoplasms,MBN
ACH-000688,OV7,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Mixed Ovarian Carcinoma,MXOV
ACH-000689,RH-18,Soft Tissue,Rhabdomyosarcoma,Embryonal Rhabdomyosarcoma,ERMS
ACH-000690,HCC-2814,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000691,HCC2157,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC
ACH-000692,SNU-899,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,LXSC
ACH-000693,KYSE-180,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,ESCC
ACH-000694,TE-9,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,ESCC
ACH-000695,COR-L47,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000696,OVCAR-8,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000697,A3/KAW,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBCLNOS
ACH-000698,DMS 53,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000699,HCC1395,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC
ACH-000700,NCI-H2882,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000701,RMUG-S,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Mucinous Ovarian Cancer,MOV
ACH-000702,L-1236,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,HL
ACH-000703,DMS 79,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000704,OAW42,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,SOC
ACH-000705,LC-1F,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000706,EKVX,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000707,P3HR-1,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,BL
ACH-000708,SNU-283,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,READ
ACH-000709,KMRC-2,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC
ACH-000710,NCI-H854,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000711,JIMT-1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC
ACH-000712,HCC-1833,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000713,Caov-3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000714,KMS-11,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000715,SNU-1214,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,LXSC
ACH-000716,TT2609-C02,Thyroid,Well-Differentiated Thyroid Cancer,Follicular Thyroid Cancer,THFO
ACH-000717,COLO-680N,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,ESCC
ACH-000718,NCI-H2291,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000719,RMG-I,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,CCOV
ACH-000720,TCCSUP,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-000721,HMC-1-8,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC
ACH-000722,SNU-C1,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000723,YD-10B,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-000724,HT-1376,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-000725,HCC202,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,DCIS
ACH-000726,TE-14,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,ESCC
ACH-000727,NCI-H2066,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000728,KASUMI-2,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,BLL
ACH-000729,NCI-H1963,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000730,SK-MEL-5,Skin,Melanoma,Cutaneous Melanoma,SKCM
ACH-000731,HCC-2279,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,LUAS
ACH-000732,PE/CA-PJ41 (clone D2),Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-000733,NCI-H1838,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000734,JHH-5,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC
ACH-000735,PE/CA-PJ49,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-000736,SNU-601,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Signet Ring Cell Carcinoma of the Stomach,SSRCC
ACH-000737,NCI-H1385,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000738,GB-1,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000739,Hep G2,Liver,Hepatoblastoma,Hepatoblastoma,LIHB
ACH-000740,A-253,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-000741,U-BLC1,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-000742,DM-3,Fibroblast,Non-Cancerous,"Fibroblast, Lung",
ACH-000743,COR-L95,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000744,NCI-H1623,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000745,MOLP-8,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000746,GSS,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,STAD
ACH-000747,NCI-H1703,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000748,SJSA-1,Bone,Osteosarcoma,Osteosarcoma,OS
ACH-000749,DMS 273,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000750,LOX IMVI,Skin,Melanoma,Melanoma,MEL
ACH-000751,OCI-M1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000752,NCI-H196,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000753,JMSU-1,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-000754,L-428,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,HL
ACH-000755,HCC2218,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,DCIS
ACH-000756,GI-1,CNS/Brain,Diffuse Glioma,Gliosarcoma,GSARC
ACH-000757,A427,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000758,MKN74,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Tubular Stomach Adenocarcinoma,TSTAD
ACH-000759,MDA-MB-175-VII,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC
ACH-000760,LNZ308,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000761,NUGC-2,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,STAD
ACH-000762,YD-38,Head and Neck,Head and Neck Squamous Cell Carcinoma,Head and Neck Squamous Cell Carcinoma,HNSC
ACH-000763,MM1-S,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000764,SH-10-TC,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Mucinous Stomach Adenocarcinoma,MSTAD
ACH-000765,WM983B,Skin,Melanoma,Melanoma,MEL
ACH-000766,NCI-H1648,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000767,NCI-H526,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000768,MDA-MB-231,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA
ACH-000769,LK-2,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000770,P31/FUJ,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000771,BICR 56,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-000772,TE 441.T,Soft Tissue,Rhabdomyosarcoma,Rhabdomyosarcoma,RMS
ACH-000773,Ki-JK,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,ALCLALKP
ACH-000774,RERF-LC-Ad2,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000775,NCI-H727,Lung,Lung Neuroendocrine Tumor,Lung Carcinoid,LUCA
ACH-000776,ONS-76,CNS/Brain,Embryonal Tumor,Medulloblastoma,MBL
ACH-000777,KYSE-30,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,ESCC
ACH-000778,HSC-3,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
